@relation databaseUFBA

@attribute lat numeric
@attribute long numeric
@attribute region {IM,Biblioteca}

@data
-13.001460,-38.507309,IM
-13.001235,-38.507578,IM
-13.001020,-38.507398,IM
-13.001246,-38.507143,IM
-13.001246,-38.507347,IM
-13.001434,-38.507289,IM
-13.001329,-38.507189,IM
-13.001275,-38.507139,IM
-13.001235,-38.507102,IM
-13.001157,-38.507178,IM
-13.001090,-38.507257,IM
-13.001150,-38.507317,IM
-13.001093,-38.507382,IM
-13.001019,-38.507320,IM
-13.000946,-38.507393,IM
-13.001008,-38.507444,IM
-13.001110,-38.507499,IM
-13.001141,-38.507496,IM
-13.001211,-38.507398,IM
-13.001258,-38.507292,IM
-13.001299,-38.507309,IM
-13.002199,-38.509116,Biblioteca
-13.002052,-38.509266,Biblioteca
-13.001948,-38.509057,Biblioteca
-13.001763,-38.509218,Biblioteca
-13.001874,-38.508789,Biblioteca
-13.001712,-38.508911,Biblioteca
-13.002192,-38.509125,Biblioteca
-13.001833,-38.508755,Biblioteca
-13.001922,-38.509029,Biblioteca
-13.001723,-38.508911,Biblioteca
-13.001608,-38.509304,Biblioteca
-13.002063,-38.509033,Biblioteca
-13.002163,-38.509111,Biblioteca
-13.002086,-38.508921,Biblioteca
-13.001986,-38.508835,Biblioteca
-13.001942,-38.508972,Biblioteca
-13.001927,-38.508835,Biblioteca
-13.001868,-38.509237,Biblioteca
-13.001694,-38.508934,Biblioteca


